emp_no,birth_date,first_name,last_name,gender,hire_date,salary
10025,1958-10-31,Prasadram,Heyers,M,1987-08-17,56643
10025,1958-10-31,Prasadram,Heyers,M,1987-08-17,57585
10025,1958-10-31,Prasadram,Heyers,M,1987-08-17,57110
10025,1958-10-31,Prasadram,Heyers,M,1987-08-17,57157
10026,1953-04-03,Yongqiao,Berztiss,M,1995-03-20,51730
10026,1953-04-03,Yongqiao,Berztiss,M,1995-03-20,53682
10026,1953-04-03,Yongqiao,Berztiss,M,1995-03-20,56769
10028,1963-11-26,Domenick,Tempesti,M,1991-10-22,50805
10028,1963-11-26,Domenick,Tempesti,M,1991-10-22,52082
10028,1963-11-26,Domenick,Tempesti,M,1991-10-22,54949
10028,1963-11-26,Domenick,Tempesti,M,1991-10-22,55963
10028,1963-11-26,Domenick,Tempesti,M,1991-10-22,57831
10028,1963-11-26,Domenick,Tempesti,M,1991-10-22,58502
10031,1959-01-27,Karsten,Joslin,M,1991-09-01,50810
10031,1959-01-27,Karsten,Joslin,M,1991-09-01,52675
10031,1959-01-27,Karsten,Joslin,M,1991-09-01,54177
10031,1959-01-27,Karsten,Joslin,M,1991-09-01,53873
10031,1959-01-27,Karsten,Joslin,M,1991-09-01,56689
10032,1960-08-09,Jeong,Reistad,F,1990-06-20,52000
10032,1960-08-09,Jeong,Reistad,F,1990-06-20,53038
10032,1960-08-09,Jeong,Reistad,F,1990-06-20,54336
10032,1960-08-09,Jeong,Reistad,F,1990-06-20,53978
10032,1960-08-09,Jeong,Reistad,F,1990-06-20,55090
10032,1960-08-09,Jeong,Reistad,F,1990-06-20,57110
10032,1960-08-09,Jeong,Reistad,F,1990-06-20,57926
10032,1960-08-09,Jeong,Reistad,F,1990-06-20,57876
10033,1956-11-14,Arif,Merlo,M,1987-03-18,51258
10033,1956-11-14,Arif,Merlo,M,1987-03-18,54972
10033,1956-11-14,Arif,Merlo,M,1987-03-18,55410
10033,1956-11-14,Arif,Merlo,M,1987-03-18,56095
10033,1956-11-14,Arif,Merlo,M,1987-03-18,56038
10033,1956-11-14,Arif,Merlo,M,1987-03-18,57712
10034,1962-12-29,Bader,Swan,M,1988-09-21,51192
10034,1962-12-29,Bader,Swan,M,1988-09-21,52687
10034,1962-12-29,Bader,Swan,M,1988-09-21,53112
10034,1962-12-29,Bader,Swan,M,1988-09-21,53164
10035,1953-02-08,Alain,Chappelet,M,1988-09-05,50664
10035,1953-02-08,Alain,Chappelet,M,1988-09-05,53060
10035,1953-02-08,Alain,Chappelet,M,1988-09-05,56640
10035,1953-02-08,Alain,Chappelet,M,1988-09-05,57621
10035,1953-02-08,Alain,Chappelet,M,1988-09-05,59291
10036,1959-08-10,Adamantios,Portugali,M,1992-01-03,51084
10036,1959-08-10,Adamantios,Portugali,M,1992-01-03,52308
10036,1959-08-10,Adamantios,Portugali,M,1992-01-03,53828
10036,1959-08-10,Adamantios,Portugali,M,1992-01-03,54408
10036,1959-08-10,Adamantios,Portugali,M,1992-01-03,53929
10036,1959-08-10,Adamantios,Portugali,M,1992-01-03,56579
10037,1963-07-22,Pradeep,Makrucki,M,1990-12-05,51775
10037,1963-07-22,Pradeep,Makrucki,M,1990-12-05,53198
10037,1963-07-22,Pradeep,Makrucki,M,1990-12-05,56270
10037,1963-07-22,Pradeep,Makrucki,M,1990-12-05,59882
10038,1960-07-20,Huan,Lortz,M,1989-09-20,52969
10038,1960-07-20,Huan,Lortz,M,1989-09-20,56629
10038,1960-07-20,Huan,Lortz,M,1989-09-20,58079
10039,1959-10-01,Alejandro,Brender,M,1988-01-19,52999
10039,1959-10-01,Alejandro,Brender,M,1988-01-19,55037
10039,1959-10-01,Alejandro,Brender,M,1988-01-19,54937
10039,1959-10-01,Alejandro,Brender,M,1988-01-19,55204
10039,1959-10-01,Alejandro,Brender,M,1988-01-19,59593
10040,1959-09-13,Weiyi,Meriste,F,1993-02-14,52153
10040,1959-09-13,Weiyi,Meriste,F,1993-02-14,53533
10040,1959-09-13,Weiyi,Meriste,F,1993-02-14,56565
10041,1959-08-27,Uri,Lenart,F,1989-11-12,56893
10043,1960-09-19,Yishay,Tzvieli,M,1990-10-20,51948
10043,1960-09-19,Yishay,Tzvieli,M,1990-10-20,54011
10043,1960-09-19,Yishay,Tzvieli,M,1990-10-20,58302
10044,1961-09-21,Mingsen,Casley,F,1994-05-21,51377
10044,1961-09-21,Mingsen,Casley,F,1994-05-21,53186
10044,1961-09-21,Mingsen,Casley,F,1994-05-21,56058
10044,1961-09-21,Mingsen,Casley,F,1994-05-21,56810
10044,1961-09-21,Mingsen,Casley,F,1994-05-21,58345
10046,1960-07-23,Lucien,Rosenbaum,M,1992-06-20,50853
10046,1960-07-23,Lucien,Rosenbaum,M,1992-06-20,52271
10046,1960-07-23,Lucien,Rosenbaum,M,1992-06-20,56481
10047,1952-06-29,Zvonko,Nyanchama,M,1989-03-31,54982
10047,1952-06-29,Zvonko,Nyanchama,M,1989-03-31,57350
10047,1952-06-29,Zvonko,Nyanchama,M,1989-03-31,59571
10049,1961-04-24,Basil,Tramer,F,1992-05-04,51326
10051,1953-07-28,Hidefumi,Caine,M,1992-10-15,50874
10051,1953-07-28,Hidefumi,Caine,M,1992-10-15,52247
10051,1953-07-28,Hidefumi,Caine,M,1992-10-15,56217
10051,1953-07-28,Hidefumi,Caine,M,1992-10-15,59402
10051,1953-07-28,Hidefumi,Caine,M,1992-10-15,59012
10052,1961-02-26,Heping,Nitsch,M,1988-05-21,57212
10052,1961-02-26,Heping,Nitsch,M,1988-05-21,56908
10054,1957-04-04,Mayumi,Schueller,M,1995-03-13,52184
10054,1957-04-04,Mayumi,Schueller,M,1995-03-13,53906
10056,1961-09-01,Brendon,Bernini,F,1990-02-01,51457
10056,1961-09-01,Brendon,Bernini,F,1990-02-01,53869
10056,1961-09-01,Brendon,Bernini,F,1990-02-01,54677
10056,1961-09-01,Brendon,Bernini,F,1990-02-01,56047
10056,1961-09-01,Brendon,Bernini,F,1990-02-01,59252
10057,1954-05-30,Ebbe,Callaway,F,1992-01-15,53897
10057,1954-05-30,Ebbe,Callaway,F,1992-01-15,58099
10057,1954-05-30,Ebbe,Callaway,F,1992-01-15,58881
10058,1954-10-01,Berhard,McFarlin,M,1987-04-13,52787
10058,1954-10-01,Berhard,McFarlin,M,1987-04-13,53377
10058,1954-10-01,Berhard,McFarlin,M,1987-04-13,53869
10058,1954-10-01,Berhard,McFarlin,M,1987-04-13,55134
10058,1954-10-01,Berhard,McFarlin,M,1987-04-13,57882
10058,1954-10-01,Berhard,McFarlin,M,1987-04-13,58807
10062,1961-11-02,Anoosh,Peyn,M,1991-08-30,55685
10062,1961-11-02,Anoosh,Peyn,M,1991-08-30,59029
10063,1952-08-06,Gino,Leonhardt,F,1989-04-08,52466
10063,1952-08-06,Gino,Leonhardt,F,1989-04-08,54823
10063,1952-08-06,Gino,Leonhardt,F,1989-04-08,56442
10067,1953-01-07,Claudi,Stavenow,M,1987-03-04,51396
10067,1953-01-07,Claudi,Stavenow,M,1987-03-04,52808
10067,1953-01-07,Claudi,Stavenow,M,1987-03-04,56581
10067,1953-01-07,Claudi,Stavenow,M,1987-03-04,58363
10070,1955-08-20,Reuven,Garigliano,M,1985-10-14,55999
10070,1955-08-20,Reuven,Garigliano,M,1985-10-14,56848
10071,1958-01-21,Hisao,Lipner,M,1987-10-01,53315
10072,1952-05-15,Hironoby,Sidou,F,1988-07-21,53559
10072,1952-05-15,Hironoby,Sidou,F,1988-07-21,56103
10072,1952-05-15,Hironoby,Sidou,F,1988-07-21,58578
10073,1954-02-23,Shir,McClurg,M,1991-12-01,56473
10075,1960-03-09,Gao,Dolinsky,F,1987-03-19,51099
10075,1960-03-09,Gao,Dolinsky,F,1987-03-19,51323
10075,1960-03-09,Gao,Dolinsky,F,1987-03-19,51238
10075,1960-03-09,Gao,Dolinsky,F,1987-03-19,55463
10075,1960-03-09,Gao,Dolinsky,F,1987-03-19,59623
10076,1952-06-13,Erez,Ritzmann,F,1985-07-09,50802
10076,1952-06-13,Erez,Ritzmann,F,1985-07-09,54783
10076,1952-06-13,Erez,Ritzmann,F,1985-07-09,57418
10076,1952-06-13,Erez,Ritzmann,F,1985-07-09,59999
10077,1964-04-18,Mona,Azuma,M,1990-03-02,50403
10077,1964-04-18,Mona,Azuma,M,1990-03-02,51581
10077,1964-04-18,Mona,Azuma,M,1990-03-02,54699
10078,1959-12-25,Danel,Mondadori,F,1987-05-26,50652
10078,1959-12-25,Danel,Mondadori,F,1987-05-26,50977
10078,1959-12-25,Danel,Mondadori,F,1987-05-26,51132
10078,1959-12-25,Danel,Mondadori,F,1987-05-26,53130
10078,1959-12-25,Danel,Mondadori,F,1987-05-26,52860
10078,1959-12-25,Danel,Mondadori,F,1987-05-26,54652
10079,1961-10-05,Kshitij,Gils,F,1986-03-27,53492
10079,1961-10-05,Kshitij,Gils,F,1986-03-27,56811
10079,1961-10-05,Kshitij,Gils,F,1986-03-27,56717
10079,1961-10-05,Kshitij,Gils,F,1986-03-27,56256
10079,1961-10-05,Kshitij,Gils,F,1986-03-27,59225
10080,1957-12-03,Premal,Baek,M,1985-11-19,54916
10080,1957-12-03,Premal,Baek,M,1985-11-19,56838
10081,1960-12-17,Zhongwei,Rosen,M,1986-10-30,55786
10081,1960-12-17,Zhongwei,Rosen,M,1986-10-30,58975
10081,1960-12-17,Zhongwei,Rosen,M,1986-10-30,58475
10083,1959-07-23,Vishv,Zockler,M,1987-03-31,53520
10083,1959-07-23,Vishv,Zockler,M,1987-03-31,54944
10083,1959-07-23,Vishv,Zockler,M,1987-03-31,55469
10083,1959-07-23,Vishv,Zockler,M,1987-03-31,58814
10083,1959-07-23,Vishv,Zockler,M,1987-03-31,59286
10085,1962-11-07,Kenroku,Malabarba,M,1994-04-09,50245
10085,1962-11-07,Kenroku,Malabarba,M,1994-04-09,52683
10085,1962-11-07,Kenroku,Malabarba,M,1994-04-09,55176
10085,1962-11-07,Kenroku,Malabarba,M,1994-04-09,56905
10089,1963-03-21,Sudharsan,Flasterstein,F,1986-08-12,56469
10089,1963-03-21,Sudharsan,Flasterstein,F,1986-08-12,56165
10089,1963-03-21,Sudharsan,Flasterstein,F,1986-08-12,56040
10090,1961-05-30,Kendra,Hofting,M,1986-03-14,50694
10090,1961-05-30,Kendra,Hofting,M,1986-03-14,54084
10090,1961-05-30,Kendra,Hofting,M,1986-03-14,54095
10090,1961-05-30,Kendra,Hofting,M,1986-03-14,56190
10090,1961-05-30,Kendra,Hofting,M,1986-03-14,58604
10091,1955-10-04,Amabile,Gomatam,M,1992-11-18,53157
10091,1955-10-04,Amabile,Gomatam,M,1992-11-18,55958
10092,1964-10-18,Valdiodio,Niizuma,F,1989-09-22,53977
10092,1964-10-18,Valdiodio,Niizuma,F,1989-09-22,54672
10092,1964-10-18,Valdiodio,Niizuma,F,1989-09-22,58042
10094,1957-05-25,Arumugam,Ossenbruggen,F,1987-04-18,58001
10097,1952-02-27,Remzi,Waschkowski,M,1990-09-15,50406
10097,1952-02-27,Remzi,Waschkowski,M,1990-09-15,51981
10097,1952-02-27,Remzi,Waschkowski,M,1990-09-15,53075
10097,1952-02-27,Remzi,Waschkowski,M,1990-09-15,53699
10097,1952-02-27,Remzi,Waschkowski,M,1990-09-15,56903
10097,1952-02-27,Remzi,Waschkowski,M,1990-09-15,59339
10098,1961-09-23,Sreekrishna,Servieres,F,1985-05-13,51404
10098,1961-09-23,Sreekrishna,Servieres,F,1985-05-13,53646
10098,1961-09-23,Sreekrishna,Servieres,F,1985-05-13,56202
10100,1953-04-21,Hironobu,Haraldson,F,1987-09-21,54398
10100,1953-04-21,Hironobu,Haraldson,F,1987-09-21,55586
10100,1953-04-21,Hironobu,Haraldson,F,1987-09-21,57195
10100,1953-04-21,Hironobu,Haraldson,F,1987-09-21,58209
10100,1953-04-21,Hironobu,Haraldson,F,1987-09-21,57770
10100,1953-04-21,Hironobu,Haraldson,F,1987-09-21,59188
10102,1959-11-04,Paraskevi,Luby,F,1994-01-26,51641
10102,1959-11-04,Paraskevi,Luby,F,1994-01-26,54847
10102,1959-11-04,Paraskevi,Luby,F,1994-01-26,56792
10104,1961-11-19,Xinyu,Warwick,M,1987-04-16,51370
10104,1961-11-19,Xinyu,Warwick,M,1987-04-16,52503
10104,1961-11-19,Xinyu,Warwick,M,1987-04-16,56992
10105,1962-02-05,Hironoby,Piveteau,M,1999-03-23,59258
10109,1958-11-25,Mariusz,Prampolini,F,1993-06-16,50806
10109,1958-11-25,Mariusz,Prampolini,F,1993-06-16,51328
10109,1958-11-25,Mariusz,Prampolini,F,1993-06-16,51092
10109,1958-11-25,Mariusz,Prampolini,F,1993-06-16,52721
10110,1957-03-07,Xuejia,Ullian,F,1986-08-22,50566
10110,1957-03-07,Xuejia,Ullian,F,1986-08-22,54311
10110,1957-03-07,Xuejia,Ullian,F,1986-08-22,55613
10110,1957-03-07,Xuejia,Ullian,F,1986-08-22,59450
10110,1957-03-07,Xuejia,Ullian,F,1986-08-22,59836
10111,1963-08-29,Hugo,Rosis,F,1988-06-19,52193
10111,1963-08-29,Hugo,Rosis,F,1988-06-19,53833
10111,1963-08-29,Hugo,Rosis,F,1988-06-19,57126
10111,1963-08-29,Hugo,Rosis,F,1988-06-19,56641
10112,1963-08-13,Yuichiro,Swick,F,1985-10-08,51558
10112,1963-08-13,Yuichiro,Swick,F,1985-10-08,55935
10112,1963-08-13,Yuichiro,Swick,F,1985-10-08,59291
10114,1957-02-16,Munir,Demeyer,F,1992-07-17,53285
10114,1957-02-16,Munir,Demeyer,F,1992-07-17,53839
10114,1957-02-16,Munir,Demeyer,F,1992-07-17,53788
10114,1957-02-16,Munir,Demeyer,F,1992-07-17,54634
10114,1957-02-16,Munir,Demeyer,F,1992-07-17,54395
10114,1957-02-16,Munir,Demeyer,F,1992-07-17,56513
10114,1957-02-16,Munir,Demeyer,F,1992-07-17,56849
10114,1957-02-16,Munir,Demeyer,F,1992-07-17,59069
10117,1961-10-24,Kiyotoshi,Blokdijk,F,1990-05-28,52284
10117,1961-10-24,Kiyotoshi,Blokdijk,F,1990-05-28,53293
10117,1961-10-24,Kiyotoshi,Blokdijk,F,1990-05-28,57635
10118,1957-03-29,Zhonghui,Zyda,F,1990-09-13,50231
10118,1957-03-29,Zhonghui,Zyda,F,1990-09-13,50794
10118,1957-03-29,Zhonghui,Zyda,F,1990-09-13,51606
10118,1957-03-29,Zhonghui,Zyda,F,1990-09-13,52962
10118,1957-03-29,Zhonghui,Zyda,F,1990-09-13,55284
10119,1960-12-01,Domenick,Peltason,M,1986-03-14,53551
10119,1960-12-01,Domenick,Peltason,M,1986-03-14,53286
10119,1960-12-01,Domenick,Peltason,M,1986-03-14,57747
10120,1960-03-26,Armond,Fairtlough,F,1996-07-06,50091
10120,1960-03-26,Armond,Fairtlough,F,1996-07-06,51285
10120,1960-03-26,Armond,Fairtlough,F,1996-07-06,52331
10120,1960-03-26,Armond,Fairtlough,F,1996-07-06,56210
10120,1960-03-26,Armond,Fairtlough,F,1996-07-06,59360
10120,1960-03-26,Armond,Fairtlough,F,1996-07-06,59279
10121,1962-07-14,Guoxiang,Ramsay,M,1989-05-03,51126
10121,1962-07-14,Guoxiang,Ramsay,M,1989-05-03,52935
10121,1962-07-14,Guoxiang,Ramsay,M,1989-05-03,53369
10121,1962-07-14,Guoxiang,Ramsay,M,1989-05-03,55848
10121,1962-07-14,Guoxiang,Ramsay,M,1989-05-03,56292
10121,1962-07-14,Guoxiang,Ramsay,M,1989-05-03,57618
10124,1962-05-23,Geraldo,Marwedel,M,1991-09-05,50109
10124,1962-05-23,Geraldo,Marwedel,M,1991-09-05,53990
10124,1962-05-23,Geraldo,Marwedel,M,1991-09-05,55731
10124,1962-05-23,Geraldo,Marwedel,M,1991-09-05,56905
10124,1962-05-23,Geraldo,Marwedel,M,1991-09-05,57740
10124,1962-05-23,Geraldo,Marwedel,M,1991-09-05,58460
10125,1957-09-13,Syozo,Hiltgen,F,1990-10-26,58249
10126,1954-08-07,Kayoko,Valtorta,M,1985-09-08,50043
10126,1954-08-07,Kayoko,Valtorta,M,1985-09-08,53369
10126,1954-08-07,Kayoko,Valtorta,M,1985-09-08,53999
10126,1954-08-07,Kayoko,Valtorta,M,1985-09-08,58390
10127,1952-02-24,Subir,Baja,F,1989-01-14,51810
10127,1952-02-24,Subir,Baja,F,1989-01-14,55610
10127,1952-02-24,Subir,Baja,F,1989-01-14,57436
10128,1958-02-15,Babette,Lamba,F,1988-06-06,53820
10128,1958-02-15,Babette,Lamba,F,1988-06-06,58140
10129,1955-12-02,Armond,Peir,M,1985-12-10,52228
10129,1955-12-02,Armond,Peir,M,1985-12-10,53321
10129,1955-12-02,Armond,Peir,M,1985-12-10,56667
10130,1955-04-27,Nishit,Casperson,M,1988-06-21,50091
10130,1955-04-27,Nishit,Casperson,M,1988-06-21,51865
10130,1955-04-27,Nishit,Casperson,M,1988-06-21,53684
10130,1955-04-27,Nishit,Casperson,M,1988-06-21,57038
10130,1955-04-27,Nishit,Casperson,M,1988-06-21,57025
10133,1963-12-12,Giri,Isaak,M,1985-12-15,50257
10133,1963-12-12,Giri,Isaak,M,1985-12-15,52802
10133,1963-12-12,Giri,Isaak,M,1985-12-15,56660
10133,1963-12-12,Giri,Isaak,M,1985-12-15,59819
10134,1953-04-15,Diederik,Siprelle,M,1987-12-12,52863
10134,1953-04-15,Diederik,Siprelle,M,1987-12-12,52846
10134,1953-04-15,Diederik,Siprelle,M,1987-12-12,53062
10134,1953-04-15,Diederik,Siprelle,M,1987-12-12,57420
10134,1953-04-15,Diederik,Siprelle,M,1987-12-12,58923
10134,1953-04-15,Diederik,Siprelle,M,1987-12-12,59416
10134,1953-04-15,Diederik,Siprelle,M,1987-12-12,59546
10135,1956-12-23,Nathan,Monkewich,M,1988-02-19,50533
10135,1956-12-23,Nathan,Monkewich,M,1988-02-19,54478
10135,1956-12-23,Nathan,Monkewich,M,1988-02-19,55430
10135,1956-12-23,Nathan,Monkewich,M,1988-02-19,55759
10135,1956-12-23,Nathan,Monkewich,M,1988-02-19,58779
10137,1959-07-30,Maren,Hutton,M,1985-02-18,53536
10137,1959-07-30,Maren,Hutton,M,1985-02-18,54729
10137,1959-07-30,Maren,Hutton,M,1985-02-18,55661
10137,1959-07-30,Maren,Hutton,M,1985-02-18,57738
10138,1955-04-24,Perry,Shimshoni,M,1986-09-18,53574
10138,1955-04-24,Perry,Shimshoni,M,1986-09-18,55822
10138,1955-04-24,Perry,Shimshoni,M,1986-09-18,58424
10139,1963-03-03,Ewing,Foong,F,1998-03-15,50398
10142,1956-08-29,Tzvetan,Hettesheimer,M,1993-10-28,50581
10142,1956-08-29,Tzvetan,Hettesheimer,M,1993-10-28,53927
10142,1956-08-29,Tzvetan,Hettesheimer,M,1993-10-28,58003
10142,1956-08-29,Tzvetan,Hettesheimer,M,1993-10-28,57530
10143,1961-07-16,Sakthirel,Bakhtari,M,1988-09-30,51207
10143,1961-07-16,Sakthirel,Bakhtari,M,1988-09-30,54032
10143,1961-07-16,Sakthirel,Bakhtari,M,1988-09-30,55019
10143,1961-07-16,Sakthirel,Bakhtari,M,1988-09-30,56753
10143,1961-07-16,Sakthirel,Bakhtari,M,1988-09-30,58378
10144,1959-06-17,Marla,Brendel,M,1985-10-14,56720
10147,1964-10-13,Kazuhito,Encarnacion,M,1986-08-21,53142
10147,1964-10-13,Kazuhito,Encarnacion,M,1986-08-21,57215
10147,1964-10-13,Kazuhito,Encarnacion,M,1986-08-21,58680
10153,1955-12-15,Heekeun,Majewski,M,1987-04-08,54246
10153,1955-12-15,Heekeun,Majewski,M,1987-04-08,58178
10154,1957-01-17,Abdulah,Thibadeau,F,1990-12-12,50766
10155,1959-12-07,Adas,Nastansky,M,1990-01-05,53486
10155,1959-12-07,Adas,Nastansky,M,1990-01-05,56313
10155,1959-12-07,Adas,Nastansky,M,1990-01-05,59372
10155,1959-12-07,Adas,Nastansky,M,1990-01-05,59875
10156,1964-09-19,Sumali,Fargier,M,1985-03-10,53456
10156,1964-09-19,Sumali,Fargier,M,1985-03-10,56114
10156,1964-09-19,Sumali,Fargier,M,1985-03-10,59660
10157,1954-04-23,Nigel,Aloisi,M,1985-11-02,53212
10157,1954-04-23,Nigel,Aloisi,M,1985-11-02,53841
10157,1954-04-23,Nigel,Aloisi,M,1985-11-02,56615
10158,1958-04-01,Khedija,Mitsuhashi,M,1986-01-29,50560
10158,1958-04-01,Khedija,Mitsuhashi,M,1986-01-29,52733
10158,1958-04-01,Khedija,Mitsuhashi,M,1986-01-29,52368
10158,1958-04-01,Khedija,Mitsuhashi,M,1986-01-29,53683
10158,1958-04-01,Khedija,Mitsuhashi,M,1986-01-29,57837
10158,1958-04-01,Khedija,Mitsuhashi,M,1986-01-29,57940
10158,1958-04-01,Khedija,Mitsuhashi,M,1986-01-29,59034
10159,1955-03-03,Serif,Buescher,M,1991-05-29,52881
10159,1955-03-03,Serif,Buescher,M,1991-05-29,53728
10159,1955-03-03,Serif,Buescher,M,1991-05-29,53523
10159,1955-03-03,Serif,Buescher,M,1991-05-29,53220
10159,1955-03-03,Serif,Buescher,M,1991-05-29,56144
10159,1955-03-03,Serif,Buescher,M,1991-05-29,56409
10159,1955-03-03,Serif,Buescher,M,1991-05-29,56651
10163,1952-09-17,Karsten,Szmurlo,M,1989-07-19,52018
10163,1952-09-17,Karsten,Szmurlo,M,1989-07-19,56022
10163,1952-09-17,Karsten,Szmurlo,M,1989-07-19,59126
10164,1956-01-19,Jagoda,Braunmuhl,M,1985-11-12,52043
10164,1956-01-19,Jagoda,Braunmuhl,M,1985-11-12,54942
10164,1956-01-19,Jagoda,Braunmuhl,M,1985-11-12,56015
10164,1956-01-19,Jagoda,Braunmuhl,M,1985-11-12,59456
10165,1960-06-16,Miyeon,Macedo,M,1988-05-17,51373
10165,1960-06-16,Miyeon,Macedo,M,1988-05-17,54221
10165,1960-06-16,Miyeon,Macedo,M,1988-05-17,57310
10165,1960-06-16,Miyeon,Macedo,M,1988-05-17,58393
10166,1953-05-10,Samphel,Siegrist,F,1993-01-01,51586
10166,1953-05-10,Samphel,Siegrist,F,1993-01-01,54561
10166,1953-05-10,Samphel,Siegrist,F,1993-01-01,55944
10166,1953-05-10,Samphel,Siegrist,F,1993-01-01,59291
10167,1958-05-23,Duangkaew,Rassart,M,1992-04-04,56990
10168,1964-09-11,Dharmaraja,Stassinopoulos,M,1986-12-06,51818
10168,1964-09-11,Dharmaraja,Stassinopoulos,M,1986-12-06,51606
10168,1964-09-11,Dharmaraja,Stassinopoulos,M,1986-12-06,55955
10168,1964-09-11,Dharmaraja,Stassinopoulos,M,1986-12-06,56250
10168,1964-09-11,Dharmaraja,Stassinopoulos,M,1986-12-06,58336
10170,1960-10-03,Kasturi,Jenevein,F,1986-01-02,51521
10170,1960-10-03,Kasturi,Jenevein,F,1986-01-02,51868
10170,1960-10-03,Kasturi,Jenevein,F,1986-01-02,53825
10171,1957-09-11,Herbert,Trachtenberg,M,1989-07-22,52231
10171,1957-09-11,Herbert,Trachtenberg,M,1989-07-22,55117
10171,1957-09-11,Herbert,Trachtenberg,M,1989-07-22,57160
10174,1959-05-15,Badri,Furudate,M,1987-06-01,59520
10176,1957-01-24,Brendon,Lenart,F,1994-12-22,54635
10176,1957-01-24,Brendon,Lenart,F,1994-12-22,56163
10176,1957-01-24,Brendon,Lenart,F,1994-12-22,57791
10177,1954-11-08,Pragnesh,Iisaka,M,1993-02-06,52019
10178,1963-03-13,Valery,Litvinov,M,1986-10-07,50568
10178,1963-03-13,Valery,Litvinov,M,1986-10-07,52998
10178,1963-03-13,Valery,Litvinov,M,1986-10-07,53704
10178,1963-03-13,Valery,Litvinov,M,1986-10-07,56030
10178,1963-03-13,Valery,Litvinov,M,1986-10-07,58125
10178,1963-03-13,Valery,Litvinov,M,1986-10-07,58329
10178,1963-03-13,Valery,Litvinov,M,1986-10-07,59004
10180,1956-01-29,Shaw,Wendorf,M,1986-02-25,52444
10180,1956-01-29,Shaw,Wendorf,M,1986-02-25,55372
10180,1956-01-29,Shaw,Wendorf,M,1986-02-25,56301
10180,1956-01-29,Shaw,Wendorf,M,1986-02-25,58341
10181,1963-01-22,Sibyl,Nooteboom,M,1988-06-22,52079
10181,1963-01-22,Sibyl,Nooteboom,M,1988-06-22,53001
10181,1963-01-22,Sibyl,Nooteboom,M,1988-06-22,53320
10181,1963-01-22,Sibyl,Nooteboom,M,1988-06-22,54962
10181,1963-01-22,Sibyl,Nooteboom,M,1988-06-22,56742
10181,1963-01-22,Sibyl,Nooteboom,M,1988-06-22,58288
10182,1961-02-04,Moriyoshi,Merey,F,1990-09-02,52104
10182,1961-02-04,Moriyoshi,Merey,F,1990-09-02,55544
10182,1961-02-04,Moriyoshi,Merey,F,1990-09-02,56473
10182,1961-02-04,Moriyoshi,Merey,F,1990-09-02,57243
10183,1954-10-17,Mechthild,Bonifati,M,1996-08-11,51247
10183,1954-10-17,Mechthild,Bonifati,M,1996-08-11,51873
10184,1957-05-22,Mihalis,Lowrie,M,1987-10-29,51710
